init_training,file_name,anomaly_threshold,window_size,drift_threshold,AUC,time
False,normality1_Dodgers.out,0.4,50,0.5,0.38575659934875894,58.7820782661438
False,normality1_MGAB.out,0.4,50,0.5,0.48713251503006005,118.44125294685364
False,normality1_NAB.out,0.4,50,0.5,0.5176318507298265,3.5698301792144775
False,normality2_Dodgers_MGAB.out,0.4,50,0.5,0.4334022727196135,180.29845094680786
False,normality2_Dodgers_NAB.out,0.4,50,0.5,0.3969058756991205,61.37287616729736
False,normality2_MGAB_Dodgers.out,0.4,50,0.5,0.43499407581731486,185.38322353363037
False,normality2_MGAB_NAB.out,0.4,50,0.5,0.6499023423022756,128.76219630241394
False,normality2_NAB_Dodgers.out,0.4,50,0.5,0.38178364901512507,61.92540645599365
False,normality2_NAB_MGAB.out,0.4,50,0.5,0.699277497397621,121.33866834640503
False,normality3_Dodgers_MGAB_NAB.out,0.4,50,0.5,0.4507794645440052,184.54546570777893
False,normality3_Dodgers_NAB_MGAB.out,0.4,50,0.5,0.45590988173653535,183.77462673187256
False,normality3_MGAB_Dodgers_NAB.out,0.4,50,0.5,0.4506699842443944,185.16753268241882
False,normality3_MGAB_NAB_Dodgers.out,0.4,50,0.5,0.4449903789404539,180.69625115394592
False,normality3_NAB_Dodgers_MGAB.out,0.4,50,0.5,0.4543768995962871,181.96585750579834
False,normality3_NAB_MGAB_Dodgers.out,0.4,50,0.5,0.4428880568848309,185.31113028526306
False,normality1_Dodgers.out,0.4,50,0.6,0.38419996675873685,59.85328245162964
False,normality1_MGAB.out,0.4,50,0.6,0.5060957665330661,121.02327299118042
False,normality1_NAB.out,0.4,50,0.6,0.5414630955659598,0.5478799343109131
False,normality2_Dodgers_MGAB.out,0.4,50,0.6,0.43717497593037496,180.03825426101685
False,normality2_Dodgers_NAB.out,0.4,50,0.6,0.39465609319854134,61.305397272109985
False,normality2_MGAB_Dodgers.out,0.4,50,0.6,0.4354492790879088,181.09992671012878
False,normality2_MGAB_NAB.out,0.4,50,0.6,0.6796587660694893,121.50968837738037
False,normality2_NAB_Dodgers.out,0.4,50,0.6,0.3878621898000951,62.53413391113281
False,normality2_NAB_MGAB.out,0.4,50,0.6,0.6970532367794311,122.85220980644226
False,normality3_Dodgers_MGAB_NAB.out,0.4,50,0.6,0.45268347523228436,178.88259553909302
False,normality3_Dodgers_NAB_MGAB.out,0.4,50,0.6,0.456883120084394,177.39828062057495
False,normality3_MGAB_Dodgers_NAB.out,0.4,50,0.6,0.45712190068795666,187.20186400413513
False,normality3_MGAB_NAB_Dodgers.out,0.4,50,0.6,0.4384039549481146,183.18483543395996
False,normality3_NAB_Dodgers_MGAB.out,0.4,50,0.6,0.45649810925043577,187.217139005661
False,normality3_NAB_MGAB_Dodgers.out,0.4,50,0.6,0.4487511978835272,185.30577635765076
False,normality1_Dodgers.out,0.4,100,0.4,0.44869141887804564,30.248529195785522
False,normality1_MGAB.out,0.4,100,0.4,0.4825481963927855,60.87470841407776
False,normality1_NAB.out,0.4,100,0.4,0.6377124070503994,2.4645392894744873
False,normality2_Dodgers_MGAB.out,0.4,100,0.4,0.4655768282038524,91.42979454994202
False,normality2_Dodgers_NAB.out,0.4,100,0.4,0.463733562979303,32.3769633769989
False,normality2_MGAB_Dodgers.out,0.4,100,0.4,0.4637063373375342,93.14968276023865
False,normality2_MGAB_NAB.out,0.4,100,0.4,0.6731482099177228,63.79073905944824
False,normality2_NAB_Dodgers.out,0.4,100,0.4,0.4338211884539642,32.369434118270874
False,normality2_NAB_MGAB.out,0.4,100,0.4,0.6892139929034815,64.12599325180054
False,normality3_Dodgers_MGAB_NAB.out,0.4,100,0.4,0.47370389259758927,94.38671064376831
False,normality3_Dodgers_NAB_MGAB.out,0.4,100,0.4,0.47668923500005145,96.06502509117126
False,normality3_MGAB_Dodgers_NAB.out,0.4,100,0.4,0.4812860722395574,93.54439306259155
False,normality3_MGAB_NAB_Dodgers.out,0.4,100,0.4,0.45137193811560583,91.30269503593445
False,normality3_NAB_Dodgers_MGAB.out,0.4,100,0.4,0.4633019249891132,93.01984143257141
False,normality3_NAB_MGAB_Dodgers.out,0.4,100,0.4,0.4542868081244202,91.47742342948914
False,normality1_Dodgers.out,0.4,100,0.5,0.4509577205284406,30.07642412185669
False,normality1_MGAB.out,0.4,100,0.5,0.495248496993988,60.342578411102295
False,normality1_NAB.out,0.4,100,0.5,0.5958596116772238,1.2933883666992188
False,normality2_Dodgers_MGAB.out,0.4,100,0.5,0.4675492444145494,90.08677744865417
False,normality2_Dodgers_NAB.out,0.4,100,0.5,0.453623577521221,30.571887493133545
False,normality2_MGAB_Dodgers.out,0.4,100,0.5,0.4669908038391297,89.61896681785583
False,normality2_MGAB_NAB.out,0.4,100,0.5,0.6891152152965101,60.651933431625366
False,normality2_NAB_Dodgers.out,0.4,100,0.5,0.4364492220045751,30.99575185775757
False,normality2_NAB_MGAB.out,0.4,100,0.5,0.7065566657965213,60.75179648399353
False,normality3_Dodgers_MGAB_NAB.out,0.4,100,0.5,0.478169488695412,90.35769009590149
False,normality3_Dodgers_NAB_MGAB.out,0.4,100,0.5,0.4771044173349466,90.71747779846191
False,normality3_MGAB_Dodgers_NAB.out,0.4,100,0.5,0.48694557895780366,90.46580958366394
False,normality3_MGAB_NAB_Dodgers.out,0.4,100,0.5,0.46018410004735905,90.94084620475769
False,normality3_NAB_Dodgers_MGAB.out,0.4,100,0.5,0.45628632117073137,90.96662545204163
False,normality3_NAB_MGAB_Dodgers.out,0.4,100,0.5,0.45877120330466603,91.02979731559753
False,normality1_Dodgers.out,0.4,100,0.6,0.44896359484909376,29.81900453567505
False,normality1_MGAB.out,0.4,100,0.6,0.4690741733466933,60.0631263256073
False,normality1_NAB.out,0.4,100,0.6,0.45576356375654087,0.2030339241027832
False,normality2_Dodgers_MGAB.out,0.4,100,0.6,0.4722663627992534,89.17067456245422
